VENDOR INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omnitech Electronics Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5090 Trabue Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Ohio 43228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.Omnitech-Electronics.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE NAME,VARIABLE DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment,The name of the relevant Experiment (this value is user created at acquisition time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cage,The name of the relevant Cage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject ID,The name of the relevant Subject ID (this value is user created at acquisition time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch,The name of the relevant Batch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase,The name of the relevant Phase (this value is user created at acquisition time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,The name of the relevant Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,Represents the time at which the experiment began (as expressed in the time zone in which the experiment was created).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,Represents time elapsed since the start of the experiment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Distance,The total distance that the subject has traveled. This variable defines the subject's location as the centroid (center of mass) of the subject.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Distance X-Axis,The total distance that the subject has traveled in one dimension (X-Axis). This variable defines the subject's location as the centroid (center of mass) of the subject.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Distance Y-Axis,The total distance that the subject has traveled in one dimension (Y-Axis). This variable defines the subject's location as the centroid (center of mass) of the subject.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Activity Count,A count of sensor changes (beam breaks).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory Activity Count,Number of beam breaks while animal is ambulating. Does not include stereotypy behavior.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest Time,The length of time that the subject spent at rest.  A resting period is defined as a period of inactivity greater than or equal to 1 second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest Episode Count,The total number of resting periods.  A resting period is defined as a period of inactivity greater than or equal to 1 second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement Time,The length of time that the subject spent in activity. Activity is defined as a period in which ambulation or stereotypy occurred.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement Episode Count,The total number of locomotor episodes.  Episodes are separated by rest periods of at least 1 second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory Time,The length of time that the subject spent in ambulatory activity. Ambulatory activity is defined as a period in which ambulation occurred.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory Trajectory Average,Cumulative average over the course of the sample based on the varying trajectories of an animal's ambulatory displacements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory Episode Count,The total number of ambulatory episodes. Episodes are separated by rest periods of at least 1 second.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stereotypy Time,The total amount of time that stereotypic behavior is exhibited. A break in stereotypy of 1 second or more is required to separate one stereotypic episode from the next.  If the animal breaks the same beam (or set of beams) repeatedly then the monitor considers that the animal is exhibiting stereotypy. This typically happens during grooming or head bobbing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stereotypic Episode Count,This corresponds to the number of times that stereotypic behavior was observed in the animal. A break in stereotypy of 1 second or more is required to separate one stereotypic episode from the next.  If the animal breaks the same beam (or set of beams) repeatedly then the monitor considers that the animal is exhibiting stereotypy. This typically happens during grooming or head bobbing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stereotypic Activity Count,The number of beam breaks due to stereotypic activity. If the animal breaks the same beam (or set of beams) repeatedly then the monitor considers that the animal is exhibiting stereotypy. This typically happens during grooming or head bobbing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stereotypic Episode Activity Count,Number of beam breaks that occur during a period of stereotypic activity. If the animal breaks the same beam (or set of beams) repeatedly then the monitor considers that the animal is exhibiting stereotypy. This typically happens during grooming or head bobbing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Episode Count,This is incremented by 1 each time the animal rears.  The animal must go below the level of the vertical sensor for at least 1 second before the next rearing can be registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Activity Count,Cumulative vertical beam breaks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Time,Time accumulated by the animal when breaking beams in the vertical layer. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clockwise Revolutions,Counts the number of clockwise revolutions that the subject travels in an open field.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter-Clockwise Revolutions,Counts the number of counter-clockwise revolutions that the subject travels in an open field.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory Episode Average Velocity,The mean of the average velocities for each ambulatory episode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory Episode Peak Average Velocity,The highest value of the mean velocities for each ambulatory episode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory Episode Median Velocity,The median of velocities for each ambulatory episode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Status,Indicates the status of the light during a sample (on or off).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan Status,Indicates whether the fan was ever 'off' during a sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPERIMENT NAME,CREATION DATE/TIME,USER NAME,COMMENT,DESCRIPTION,PHASE COUNT,BATCH COUNT,TOTAL RECORDINGS COUNT,ORDER BY BATCH,SUBJECT AGE UNIT,FIRST POKE AUTO START (Hole Poke),POST-CHECK,PRE-CHECK,INSERTION AUTO START,ENABLE SCHEDULED ECC EVENTS,SCHEDULE START OPTION,START SCHEDULE WITH LIGHTS ON,LIGHT INTENSITY,,,,,,,,,,,,,,,,
OF072522,7/25/2022 8:18,Jade Kaplan,,,1,3,3,Yes,Months,No,No,No,No,No,Use Experiment Start Time,Yes,50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPORT PRECISION,DISTANCE UNIT,SPEED UNIT,TIME UNIT,WEIGHT UNIT,SAMPLE DURATION (s),REST THRESHOLD (s),,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Centimeter,CentimetersPerSecond,Second,Gram,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPERIMENT,CAGE,SUBJECT ID,BATCH,PHASE,SAMPLE,START TIME,DURATION (s),TOTAL DISTANCE (cm),TOTAL DISTANCE X-AXIS (cm),TOTAL DISTANCE Y-AXIS (cm),HORIZONTAL ACTIVITY COUNT,AMBULATORY ACTIVITY COUNT,REST TIME (s),REST EPISODE COUNT,MOVEMENT TIME (s),MOVEMENT EPISODE COUNT,AMBULATORY TIME (s),AMBULATORY TRAJECTORY AVERAGE,AMBULATORY EPISODE COUNT,STEREOTYPY TIME (s),STEREOTYPIC EPISODE COUNT,STEREOTYPIC ACTIVITY COUNT,STEREOTYPIC EPISODE ACTIVITY COUNT,VERTICAL EPISODE COUNT,VERTICAL ACTIVITY COUNT,VERTICAL TIME (s),CLOCKWISE REVOLUTIONS,COUNTER-CLOCKWISE REVOLUTIONS,AMBULATORY EPISODE AVERAGE VELOCITY (cm/s),AMBULATORY EPISODE PEAK AVERAGE VELOCITY (cm/s),AMBULATORY EPISODE MEDIAN VELOCITY (cm/s),LIGHT STATUS,FAN STATUS
OF072522,Cage 1,3526597,Batch 1,Phase 1,1,9:03:04 AM,300,883.88,234,222.25,1254,1194,70,44,230,45,31.46,52.75,6,9.77,26,60,706,34,58,17.23,6,1,9.75,21.5,14.02,On,On
OF072522,Cage 1,3526597,Batch 1,Phase 1,2,9:08:04 AM,300,841.5,219.08,226.7,1069,1032,75.3,50,224.71,51,24.28,50.57,5,5.98,19,37,409,37,53,11.7,3,3,10.07,22.41,15.76,On,On
OF072522,Cage 1,3526597,Batch 1,Phase 1,3,9:13:04 AM,300,1002.15,247.33,265.11,1184,1120,63.98,41,236.02,42,34.81,60.71,5,11.81,30,64,451,31,50,10.14,3,5,10.23,21.07,13.85,On,On
OF072522,Cage 1,3526597,Batch 1,Phase 1,4,9:18:04 AM,300,885.76,241.62,214.63,1102,1055,83.42,54,216.58,55,28,63.89,2,7.01,23,47,444,39,62,11.97,4,3,10.91,22.14,15.22,On,On
OF072522,Cage 2,3526302,Batch 1,Phase 1,1,9:03:42 AM,300,1067.13,323,319.41,1659,1589,66.64,36,233.36,37,30.55,53.2,3,8.09,27,70,947,21,31,10.56,7,3,11.94,19.22,15.61,On,On
